Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,00000,CHL_Site,NA,CHL,-22.345,-69.662,0,1259
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,RH,Pres,Wspd,Wdir
2007,1,1,0,0,0.0,-0.0,0.0,24.69,37.81,86880.0,2.33,267.0
2007,1,1,1,0,0.0,-0.0,0.0,23.8,42.01,87000.0,2.26,265.0
2007,1,1,2,0,0.0,-0.0,0.0,22.91,46.22,87070.0,2.2,288.0
2007,1,1,3,0,0.0,-0.0,0.0,22.03,50.42,87120.0,2.14,353.0
2007,1,1,4,0,0.0,-0.0,0.0,21.14,54.62,87100.0,2.07,358.0
2007,1,1,5,0,0.0,-0.0,0.0,20.25,58.83,87070.0,2.01,355.0
2007,1,1,6,0,0.0,-0.0,0.0,19.36,63.03,87040.0,1.95,355.0
2007,1,1,7,0,0.0,-0.0,0.0,18.47,67.24,86990.0,1.88,328.0
2007,1,1,8,0,0.0,-0.0,0.0,18.68,65.65,86960.0,0.69,328.0
2007,1,1,9,0,0.0,-0.0,0.0,18.26,67.95,86990.0,0.28,306.0
2007,1,1,10,0,0.0,-0.0,0.0,17.9,70.3,87020.0,0.14,283.0
2007,1,1,11,0,263.9,837.7,83.65,17.53,67.85,87070.0,0.21,256.0
2007,1,1,12,0,538.3,991.4,109.45,18.8,59.05,87050.0,0.28,16.0
2007,1,1,13,0,778.4,1077.6,98.85,21.02,43.25,87030.0,1.1,356.0
2007,1,1,14,0,951.25,1047.11,117.95,23.47,35.25,86970.0,1.79,342.0
2007,1,1,15,0,1074.15,1041.11,119.55,25.88,28.9,86940.0,2.34,329.0
2007,1,1,16,0,1150.05,1049.47,115.65,27.83,25.3,86880.0,2.76,317.0
2007,1,1,17,0,1122.85,1008.65,116.9,29.49,23.85,86800.0,3.1,303.0
2007,1,1,18,0,987.65,844.9,184.0,30.39,23.25,86720.0,3.38,306.0
2007,1,1,19,0,827.45,820.09,130.1,30.29,24.1,86690.0,3.17,286.0
2007,1,1,20,0,593.45,690.78,108.75,30.23,25.0,86630.0,3.24,280.0
2007,1,1,21,0,340.6,485.43,90.45,29.74,25.8,86600.0,3.31,279.0
2007,1,1,22,0,148.95,335.07,47.1,28.68,27.5,86600.0,3.52,268.0
2007,1,1,23,0,7.8,37.18,4.75,27.26,29.3,86660.0,3.31,256.0
2007,1,2,0,0,0.0,-0.0,0.0,25.85,33.4,86770.0,2.76,250.0
2007,1,2,1,0,0.0,-0.0,0.0,24.71,35.65,86830.0,1.93,251.0
2007,1,2,2,0,0.0,-0.0,0.0,23.69,39.45,86890.0,1.24,276.0
2007,1,2,3,0,0.0,-0.0,0.0,22.09,43.5,86950.0,1.24,0.0
2007,1,2,4,0,0.0,-0.0,0.0,20.48,48.05,86940.0,2.07,14.0
2007,1,2,5,0,0.0,-0.0,0.0,19.05,51.25,86910.0,2.41,7.0
2007,1,2,6,0,0.0,-0.0,0.0,18.17,54.85,86860.0,1.93,5.0
2007,1,2,7,0,0.0,-0.0,0.0,19.73,53.25,86810.0,0.62,309.0
2007,1,2,8,0,0.0,-0.0,0.0,19.01,57.1,86810.0,0.83,217.0
2007,1,2,9,0,0.0,-0.0,0.0,18.28,61.05,86870.0,1.1,193.0
2007,1,2,10,0,0.0,-0.0,0.0,18.02,61.05,86910.0,0.83,168.0
2007,1,2,11,0,306.45,1120.23,67.8,18.11,61.05,86940.0,0.55,134.0
2007,1,2,12,0,560.65,1113.05,81.3,19.51,51.4,86970.0,0.9,61.0
2007,1,2,13,0,791.8,1109.17,94.1,21.86,40.35,86950.0,1.72,28.0
2007,1,2,14,0,983.9,1115.06,97.85,24.3,29.55,86920.0,2.41,11.0
2007,1,2,15,0,1097.95,1080.06,108.45,26.64,22.5,86900.0,2.62,355.0
2007,1,2,16,0,1158.35,1072.73,101.35,28.61,19.7,86850.0,2.69,340.0
2007,1,2,17,0,1144.05,1056.82,89.9,30.18,17.3,86780.0,2.9,324.0
2007,1,2,18,0,1061.25,1017.27,93.1,31.22,16.25,86710.0,3.31,306.0
2007,1,2,19,0,890.15,939.56,90.4,32.16,15.25,86610.0,4.34,291.0
2007,1,2,20,0,674.05,840.12,83.65,31.69,16.35,86600.0,4.55,279.0
2007,1,2,21,0,417.25,670.64,70.85,30.61,17.4,86610.0,4.48,264.0
2007,1,2,22,0,163.9,387.48,45.65,29.22,19.85,86650.0,4.48,253.0
2007,1,2,23,0,8.7,45.72,4.9,27.36,22.65,86760.0,4.41,247.0
2007,1,3,0,0,0.0,-0.0,0.0,25.44,27.7,86860.0,4.07,235.0
2007,1,3,1,0,0.0,-0.0,0.0,24.15,30.7,86980.0,2.69,218.0
2007,1,3,2,0,0.0,-0.0,0.0,23.02,34.0,87040.0,1.52,201.0
2007,1,3,3,0,0.0,-0.0,0.0,22.85,36.4,87110.0,0.69,169.0
2007,1,3,4,0,0.0,-0.0,0.0,22.35,36.3,87110.0,0.55,91.0
2007,1,3,5,0,0.0,-0.0,0.0,21.68,37.5,87070.0,1.03,41.0
2007,1,3,6,0,0.0,-0.0,0.0,20.77,38.65,87050.0,1.38,29.0
2007,1,3,7,0,0.0,-0.0,0.0,20.29,44.6,86970.0,0.83,319.0
2007,1,3,8,0,0.0,-0.0,0.0,19.78,46.1,86960.0,0.55,348.0
2007,1,3,9,0,0.0,-0.0,0.0,19.48,44.45,86970.0,0.41,42.0
2007,1,3,10,0,0.0,-0.0,0.0,19.14,44.3,87000.0,0.21,104.0
2007,1,3,11,0,312.15,1183.18,62.65,18.95,44.3,87030.0,0.48,192.0
2007,1,3,12,0,567.1,1133.57,81.1,20.38,41.45,87060.0,0.55,196.0
2007,1,3,13,0,800.6,1129.68,91.8,22.39,35.0,87090.0,0.41,75.0
2007,1,3,14,0,983.75,1112.52,101.05,24.72,25.6,87080.0,0.97,5.0
2007,1,3,15,0,1107.15,1092.7,106.9,26.99,20.9,87090.0,1.59,333.0
2007,1,3,16,0,1170.55,1084.68,102.1,28.99,17.6,87040.0,2.34,312.0
2007,1,3,17,0,1144.85,1046.61,100.75,30.55,16.0,87000.0,3.03,298.0
2007,1,3,18,0,1051.15,999.22,99.65,31.45,15.65,86920.0,3.72,287.0
2007,1,3,19,0,885.8,929.42,93.9,32.02,15.15,86850.0,4.0,280.0
2007,1,3,20,0,674.1,841.63,81.75,31.63,15.75,86800.0,4.28,269.0
2007,1,3,21,0,419.8,675.51,70.1,30.8,17.4,86790.0,4.48,255.0
2007,1,3,22,0,167.8,400.55,45.1,29.48,19.85,86820.0,4.76,241.0
2007,1,3,23,0,9.15,48.13,5.1,27.71,23.5,86890.0,5.03,229.0
2007,1,4,0,0,0.0,-0.0,0.0,25.84,26.85,87000.0,4.55,221.0
2007,1,4,1,0,0.0,-0.0,0.0,24.55,29.7,87090.0,3.38,208.0
2007,1,4,2,0,0.0,-0.0,0.0,23.36,34.0,87160.0,2.07,189.0
2007,1,4,3,0,0.0,-0.0,0.0,21.51,38.9,87210.0,1.59,171.0
2007,1,4,4,0,0.0,-0.0,0.0,20.67,41.55,87170.0,1.45,174.0
2007,1,4,5,0,0.0,-0.0,0.0,20.07,43.0,87110.0,1.45,186.0
2007,1,4,6,0,0.0,-0.0,0.0,20.04,43.0,87050.0,1.24,188.0
2007,1,4,7,0,0.0,-0.0,0.0,18.47,51.15,87000.0,1.52,246.0
2007,1,4,8,0,0.0,-0.0,0.0,18.51,53.0,87010.0,1.17,246.0
2007,1,4,9,0,0.0,-0.0,0.0,18.08,54.85,87000.0,0.69,245.0
2007,1,4,10,0,0.0,-0.0,0.0,17.61,56.75,87010.0,0.55,241.0
2007,1,4,11,0,303.8,1104.08,73.4,17.53,56.75,87020.0,0.62,234.0
2007,1,4,12,0,566.65,1115.3,90.65,19.4,49.45,87050.0,0.07,241.0
2007,1,4,13,0,802.3,1124.91,98.3,21.45,40.2,87050.0,0.76,33.0
2007,1,4,14,0,983.25,1089.53,120.1,23.74,32.9,87030.0,0.9,16.0
2007,1,4,15,0,1102.45,1061.67,131.4,26.09,26.0,86990.0,1.03,342.0
2007,1,4,16,0,1148.6,1016.57,147.55,28.44,22.75,86920.0,1.66,311.0
2007,1,4,17,0,1118.9,955.26,165.8,30.37,20.05,86840.0,2.41,296.0
2007,1,4,18,0,1031.25,942.58,133.2,31.6,18.3,86770.0,2.97,285.0
2007,1,4,19,0,866.0,870.84,123.3,32.05,19.7,86680.0,4.14,268.0
2007,1,4,20,0,661.35,802.1,96.0,31.51,21.85,86610.0,4.41,261.0
2007,1,4,21,0,421.35,673.38,72.0,30.57,23.4,86600.0,4.55,249.0
2007,1,4,22,0,166.3,390.02,46.4,29.27,26.65,86620.0,4.83,236.0
2007,1,4,23,0,9.2,47.59,5.15,27.37,30.35,86690.0,5.1,224.0
