País,Capacidad_kW,DC_AC_Ratio,Tilt,Azimuth,Energía_MWh,LCOE_$_kWh
CHL,10000,1.0,17.3,45,21850.69,0.0155
CHL,10000,1.0,22.3,45,21979.44,0.0155
CHL,10000,1.0,27.3,45,21985.01,0.0155
CHL,10000,1.0,32.3,45,21866.38,0.0155
CHL,10000,1.1,17.3,45,21850.72,0.0155
CHL,10000,1.1,22.3,45,21978.44,0.0155
CHL,10000,1.1,27.3,45,21983.54,0.0155
CHL,10000,1.1,32.3,45,21864.71,0.0155
CHL,10000,1.2,17.3,45,21845.07,0.0155
CHL,10000,1.2,22.3,45,21970.97,0.0155
CHL,10000,1.2,27.3,45,21972.77,0.0155
CHL,10000,1.2,32.3,45,21848.32,0.0155
CHL,10000,1.3,17.3,45,21690.33,0.0155
CHL,10000,1.3,22.3,45,21785.18,0.0155
CHL,10000,1.3,27.3,45,21750.95,0.0155
CHL,10000,1.0,12.3,45,21582.74,0.0156
CHL,10000,1.0,12.3,0,21246.27,0.0156
CHL,10000,1.0,17.3,0,21415.12,0.0156
CHL,10000,1.0,22.3,0,21448.47,0.0156
CHL,10000,1.0,27.3,0,21348.09,0.0156
CHL,10000,1.1,12.3,45,21583.8,0.0156
CHL,10000,1.1,12.3,0,21248.67,0.0156
CHL,10000,1.1,17.3,0,21417.13,0.0156
CHL,10000,1.1,22.3,0,21450.29,0.0156
CHL,10000,1.1,27.3,0,21349.89,0.0156
CHL,10000,1.2,12.3,45,21579.37,0.0156
CHL,10000,1.2,12.3,0,21247.11,0.0156
CHL,10000,1.2,17.3,0,21415.18,0.0156
CHL,10000,1.2,22.3,0,21448.16,0.0156
CHL,10000,1.2,27.3,0,21347.74,0.0156
CHL,10000,1.3,12.3,45,21454.87,0.0156
CHL,10000,1.3,17.3,0,21362.97,0.0156
CHL,10000,1.3,22.3,0,21403.29,0.0156
CHL,10000,1.3,27.3,0,21303.02,0.0156
CHL,10000,1.3,32.3,45,21548.08,0.0156
CHL,10000,1.4,17.3,45,21261.08,0.0156
CHL,10000,1.4,22.3,45,21287.39,0.0156
CHL,10000,1.0,12.3,90,20922.78,0.0157
CHL,10000,1.0,17.3,90,20910.83,0.0157
CHL,10000,1.0,32.3,0,21114.06,0.0157
CHL,10000,1.1,12.3,90,20924.42,0.0157
CHL,10000,1.1,17.3,90,20911.54,0.0157
CHL,10000,1.1,32.3,0,21116.07,0.0157
CHL,10000,1.2,12.3,90,20915.84,0.0157
CHL,10000,1.2,17.3,90,20894.24,0.0157
CHL,10000,1.2,32.3,0,21114.19,0.0157
CHL,10000,1.3,12.3,0,21185.51,0.0157
CHL,10000,1.3,32.3,0,21067.38,0.0157
CHL,10000,1.4,12.3,45,21083.31,0.0157
CHL,10000,1.4,12.3,0,20873.23,0.0157
CHL,10000,1.4,17.3,0,21038.96,0.0157
CHL,10000,1.4,22.3,0,21076.57,0.0157
CHL,10000,1.4,27.3,45,21138.18,0.0157
CHL,10000,1.4,27.3,0,20989.08,0.0157
CHL,10000,1.0,22.3,90,20786.6,0.0158
CHL,10000,1.0,27.3,90,20578.15,0.0158
CHL,10000,1.1,22.3,90,20786.91,0.0158
CHL,10000,1.1,27.3,90,20578.13,0.0158
CHL,10000,1.2,22.3,90,20758.38,0.0158
