País,Capacidad_kW,Horas_almacenamiento,Energia_anual_kWh,LCOE_$_kWh
ESP,100000,4,84150982.32102217,0.4991162825746895
ESP,100000,5,83843295.7182612,0.5064923968593915
ESP,100000,6,83517718.01014283,0.5140307979981141
ESP,100000,7,83192314.64800112,0.5216271309388306
ESP,100000,8,82874449.71464562,0.5292358876778909
ESP,100000,9,82565543.18607272,0.5368460666364487
ESP,100000,10,82263372.00232267,0.5444696406309038
ESP,100000,11,81952252.60472807,0.552208623469706
ESP,100000,12,81658532.67480357,0.5598893968344595
ESP,100000,13,81363994.72535062,0.5676312303245594
ESP,100000,14,81061353.80667843,0.575485839232618
ESP,100000,15,80769854.8600411,0.5833202191687292
ESP,100000,16,80482317.34583291,0.591182744695044
ESP,100000,17,80189760.32369792,0.5991385272589579
ESP,100000,18,79898627.58272737,0.6071419277863781
CHL,100000,4,343105684.0237717,0.12996191717131414
CHL,100000,5,362876165.3447292,0.12471560501143536
CHL,100000,6,378302244.7663209,0.12127478791894654
CHL,100000,7,387368120.0911456,0.11987854459861673
CHL,100000,8,392389511.24799204,0.11966498142761188
CHL,100000,9,393686936.985742,0.12049218955634194
CHL,100000,10,393804186.66639894,0.12164755571380832
CHL,100000,11,393613988.99081594,0.12289034261454572
CHL,100000,12,393426009.90323734,0.12413368752609572
CHL,100000,13,393242101.096647,0.1253770269162187
CHL,100000,14,393050410.2096458,0.12662383881561662
CHL,100000,15,392876017.1102764,0.12786667771473387
CHL,100000,16,392697041.880887,0.129112010292801
CHL,100000,17,392519068.82249826,0.13035817123502855
CHL,100000,18,392343085.2794685,0.13160484609599016
CHN,100000,4,63636207.53883345,0.6567955467451368
CHN,100000,5,63348799.96830985,0.6671167705240572
CHN,100000,6,63037443.546263345,0.6777856792326891
CHN,100000,7,62668983.00608292,0.6891788093224023
CHN,100000,8,62318937.41799446,0.700502602359448
CHN,100000,9,61979092.83723722,0.7118387923411122
CHN,100000,10,61631638.886631116,0.7233880530427522
CHN,100000,11,61300023.73851488,0.7348809276909389
CHN,100000,12,60974780.83987118,0.7464218560597552
CHN,100000,13,60647362.85362036,0.7581133943503331
CHN,100000,14,60324104.951838836,0.7698794499031258
CHN,100000,15,60009391.31021838,0.7816623994934618
CHN,100000,16,59699645.34093405,0.7935043881307066
CHN,100000,17,59381025.09157131,0.8055887798416935
CHN,100000,18,59072888.37399655,0.8176601943039179
