Latitude (decimal degrees): -22.345
Longitude (decimal degrees): -69.662
Elevation (m): 1259.0
Irradiance Time Offset (h): 0.0
month,year
1,2007
2,2017
3,2016
4,2019
5,2019
6,2016
7,2015
8,2011
9,2017
10,2014
11,2008
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,24.69,37.81,0.0,-0.0,0.0,322.11,2.33,267.0,86880.0
20070101:0100,23.8,42.01,0.0,-0.0,0.0,320.75,2.26,265.0,87000.0
20070101:0200,22.91,46.22,0.0,-0.0,0.0,319.38,2.2,288.0,87070.0
20070101:0300,22.03,50.42,0.0,-0.0,0.0,318.02,2.14,353.0,87120.0
20070101:0400,21.14,54.62,0.0,-0.0,0.0,316.66,2.07,358.0,87100.0
20070101:0500,20.25,58.83,0.0,-0.0,0.0,315.3,2.01,355.0,87070.0
20070101:0600,19.36,63.03,0.0,-0.0,0.0,313.93,1.95,355.0,87040.0
20070101:0700,18.47,67.24,0.0,-0.0,0.0,312.57,1.88,328.0,86990.0
20070101:0800,18.68,65.65,0.0,-0.0,0.0,323.55,0.69,328.0,86960.0
20070101:0900,18.26,67.95,0.0,-0.0,0.0,315.65,0.28,306.0,86990.0
20070101:1000,17.9,70.3,0.0,-0.0,0.0,306.75,0.14,283.0,87020.0
20070101:1100,17.53,67.85,263.9,837.7,83.65,302.5,0.21,256.0,87070.0
20070101:1200,18.8,59.05,538.3,991.4,109.45,323.75,0.28,16.0,87050.0
20070101:1300,21.02,43.25,778.4,1077.6,98.85,317.55,1.1,356.0,87030.0
20070101:1400,23.47,35.25,951.25,1047.11,117.95,325.9,1.79,342.0,86970.0
20070101:1500,25.88,28.9,1074.15,1041.11,119.55,336.95,2.34,329.0,86940.0
20070101:1600,27.83,25.3,1150.05,1049.47,115.65,353.0,2.76,317.0,86880.0
20070101:1700,29.49,23.85,1122.85,1008.65,116.9,353.55,3.1,303.0,86800.0
20070101:1800,30.39,23.25,987.65,844.9,184.0,358.6,3.38,306.0,86720.0
20070101:1900,30.29,24.1,827.45,820.09,130.1,367.3,3.17,286.0,86690.0
20070101:2000,30.23,25.0,593.45,690.78,108.75,361.1,3.24,280.0,86630.0
20070101:2100,29.74,25.8,340.6,485.43,90.45,365.55,3.31,279.0,86600.0
20070101:2200,28.68,27.5,148.95,335.07,47.1,358.6,3.52,268.0,86600.0
20070101:2300,27.26,29.3,7.8,37.18,4.75,342.75,3.31,256.0,86660.0
20070102:0000,25.85,33.4,0.0,-0.0,0.0,336.95,2.76,250.0,86770.0
20070102:0100,24.71,35.65,0.0,-0.0,0.0,329.7,1.93,251.0,86830.0
20070102:0200,23.69,39.45,0.0,-0.0,0.0,320.1,1.24,276.0,86890.0
20070102:0300,22.09,43.5,0.0,-0.0,0.0,312.75,1.24,0.0,86950.0
20070102:0400,20.48,48.05,0.0,-0.0,0.0,311.95,2.07,14.0,86940.0
20070102:0500,19.05,51.25,0.0,-0.0,0.0,307.1,2.41,7.0,86910.0
20070102:0600,18.17,54.85,0.0,-0.0,0.0,302.3,1.93,5.0,86860.0
20070102:0700,19.73,53.25,0.0,-0.0,0.0,301.7,0.62,309.0,86810.0
20070102:0800,19.01,57.1,0.0,-0.0,0.0,297.25,0.83,217.0,86810.0
20070102:0900,18.28,61.05,0.0,-0.0,0.0,293.95,1.1,193.0,86870.0
20070102:1000,18.02,61.05,0.0,-0.0,0.0,290.85,0.83,168.0,86910.0
20070102:1100,18.11,61.05,306.45,1120.23,67.8,290.85,0.55,134.0,86940.0
20070102:1200,19.51,51.4,560.65,1113.05,81.3,298.05,0.9,61.0,86970.0
20070102:1300,21.86,40.35,791.8,1109.17,94.1,305.95,1.72,28.0,86950.0
20070102:1400,24.3,29.55,983.9,1115.06,97.85,316.6,2.41,11.0,86920.0
20070102:1500,26.64,22.5,1097.95,1080.06,108.45,323.75,2.62,355.0,86900.0
20070102:1600,28.61,19.7,1158.35,1072.73,101.35,333.45,2.69,340.0,86850.0
20070102:1700,30.18,17.3,1144.05,1056.82,89.9,339.45,2.9,324.0,86780.0
20070102:1800,31.22,16.25,1061.25,1017.27,93.1,344.1,3.31,306.0,86710.0
20070102:1900,32.16,15.25,890.15,939.56,90.4,345.05,4.34,291.0,86610.0
20070102:2000,31.69,16.35,674.05,840.12,83.65,340.2,4.55,279.0,86600.0
20070102:2100,30.61,17.4,417.25,670.64,70.85,334.8,4.48,264.0,86610.0
20070102:2200,29.22,19.85,163.9,387.48,45.65,325.9,4.48,253.0,86650.0
20070102:2300,27.36,22.65,8.7,45.72,4.9,317.4,4.41,247.0,86760.0
20070103:0000,25.44,27.7,0.0,-0.0,0.0,307.7,4.07,235.0,86860.0
20070103:0100,24.15,30.7,0.0,-0.0,0.0,304.5,2.69,218.0,86980.0
20070103:0200,23.02,34.0,0.0,-0.0,0.0,301.9,1.52,201.0,87040.0
20070103:0300,22.85,36.4,0.0,-0.0,0.0,299.2,0.69,169.0,87110.0
20070103:0400,22.35,36.3,0.0,-0.0,0.0,296.3,0.55,91.0,87110.0
20070103:0500,21.68,37.5,0.0,-0.0,0.0,296.3,1.03,41.0,87070.0
20070103:0600,20.77,38.65,0.0,-0.0,0.0,289.9,1.38,29.0,87050.0
20070103:0700,20.29,44.6,0.0,-0.0,0.0,288.75,0.83,319.0,86970.0
20070103:0800,19.78,46.1,0.0,-0.0,0.0,285.65,0.55,348.0,86960.0
20070103:0900,19.48,44.45,0.0,-0.0,0.0,282.35,0.41,42.0,86970.0
20070103:1000,19.14,44.3,0.0,-0.0,0.0,280.4,0.21,104.0,87000.0
20070103:1100,18.95,44.3,312.15,1183.18,62.65,280.2,0.48,192.0,87030.0
20070103:1200,20.38,41.45,567.1,1133.57,81.1,286.05,0.55,196.0,87060.0
20070103:1300,22.39,35.0,800.6,1129.68,91.8,296.5,0.41,75.0,87090.0
20070103:1400,24.72,25.6,983.75,1112.52,101.05,307.1,0.97,5.0,87080.0
20070103:1500,26.99,20.9,1107.15,1092.7,106.9,317.75,1.59,333.0,87090.0
20070103:1600,28.99,17.6,1170.55,1084.68,102.1,327.05,2.34,312.0,87040.0
20070103:1700,30.55,16.0,1144.85,1046.61,100.75,334.8,3.03,298.0,87000.0
20070103:1800,31.45,15.65,1051.15,999.22,99.65,338.5,3.72,287.0,86920.0
20070103:1900,32.02,15.15,885.8,929.42,93.9,339.85,4.0,280.0,86850.0
20070103:2000,31.63,15.75,674.1,841.63,81.75,336.35,4.28,269.0,86800.0
20070103:2100,30.8,17.4,419.8,675.51,70.1,330.15,4.48,255.0,86790.0
20070103:2200,29.48,19.85,167.8,400.55,45.1,323.0,4.76,241.0,86820.0
20070103:2300,27.71,23.5,9.15,48.13,5.1,315.85,5.03,229.0,86890.0
20070104:0000,25.84,26.85,0.0,-0.0,0.0,306.75,4.55,221.0,87000.0
20070104:0100,24.55,29.7,0.0,-0.0,0.0,302.6,3.38,208.0,87090.0
20070104:0200,23.36,34.0,0.0,-0.0,0.0,298.6,2.07,189.0,87160.0
20070104:0300,21.51,38.9,0.0,-0.0,0.0,297.05,1.59,171.0,87210.0
20070104:0400,20.67,41.55,0.0,-0.0,0.0,296.1,1.45,174.0,87170.0
20070104:0500,20.07,43.0,0.0,-0.0,0.0,293.4,1.45,186.0,87110.0
20070104:0600,20.04,43.0,0.0,-0.0,0.0,290.3,1.24,188.0,87050.0
20070104:0700,18.47,51.15,0.0,-0.0,0.0,287.95,1.52,246.0,87000.0
20070104:0800,18.51,53.0,0.0,-0.0,0.0,284.3,1.17,246.0,87010.0
20070104:0900,18.08,54.85,0.0,-0.0,0.0,286.4,0.69,245.0,87000.0
20070104:1000,17.61,56.75,0.0,-0.0,0.0,281.2,0.55,241.0,87010.0
20070104:1100,17.53,56.75,303.8,1104.08,73.4,284.1,0.62,234.0,87020.0
20070104:1200,19.4,49.45,566.65,1115.3,90.65,288.75,0.07,241.0,87050.0
20070104:1300,21.45,40.2,802.3,1124.91,98.3,300.15,0.76,33.0,87050.0
20070104:1400,23.74,32.9,983.25,1089.53,120.1,310.2,0.9,16.0,87030.0
20070104:1500,26.09,26.0,1102.45,1061.67,131.4,321.65,1.03,342.0,86990.0
20070104:1600,28.44,22.75,1148.6,1016.57,147.55,332.1,1.66,311.0,86920.0
20070104:1700,30.37,20.05,1118.9,955.26,165.8,342.55,2.41,296.0,86840.0
20070104:1800,31.6,18.3,1031.25,942.58,133.2,351.85,2.97,285.0,86770.0
20070104:1900,32.05,19.7,866.0,870.84,123.3,352.6,4.14,268.0,86680.0
20070104:2000,31.51,21.85,661.35,802.1,96.0,349.3,4.41,261.0,86610.0
20070104:2100,30.57,23.4,421.35,673.38,72.0,340.0,4.55,249.0,86600.0
20070104:2200,29.27,26.65,166.3,390.02,46.4,329.55,4.83,236.0,86620.0
20070104:2300,27.37,30.35,9.2,47.59,5.15,320.85,5.1,224.0,86690.0
20070105:0000,25.47,35.8,0.0,-0.0,0.0,312.75,4.76,213.0,86850.0
20070105:0100,24.13,38.15,0.0,-0.0,0.0,308.2,3.79,197.0,86960.0
20070105:0200,23.04,40.75,0.0,-0.0,0.0,305.75,3.24,182.0,87050.0
20070105:0300,21.63,44.95,0.0,-0.0,0.0,304.2,2.41,180.0,87040.0
20070105:0400,19.83,51.4,0.0,-0.0,0.0,302.3,2.07,178.0,87010.0
20070105:0500,18.47,56.95,0.0,-0.0,0.0,299.4,1.93,177.0,86950.0
20070105:0600,17.84,60.95,0.0,-0.0,0.0,297.45,1.72,182.0,86870.0
20070105:0700,17.78,60.95,0.0,-0.0,0.0,296.85,1.59,204.0,86850.0
20070105:0800,18.18,58.9,0.0,-0.0,0.0,298.05,1.38,212.0,86800.0
20070105:0900,17.79,60.95,0.0,-0.0,0.0,298.2,1.38,218.0,86790.0
20070105:1000,16.35,65.25,0.0,-0.0,0.0,300.35,1.59,220.0,86810.0
20070105:1100,15.29,69.9,239.55,464.25,143.7,300.15,1.72,226.0,86850.0
20070105:1200,18.94,56.95,486.1,678.15,198.0,312.15,1.17,236.0,86870.0
20070105:1300,22.09,41.95,702.55,697.6,267.1,319.1,0.76,256.0,86870.0
20070105:1400,24.1,36.8,886.4,728.3,310.3,330.35,0.69,291.0,86830.0
20070105:1500,26.37,31.2,1020.6,786.75,301.6,342.75,1.1,294.0,86810.0
20070105:1600,28.58,26.5,1049.0,707.46,352.55,357.05,1.59,291.0,86750.0
20070105:1700,30.25,24.1,1037.05,692.98,345.55,364.4,2.07,280.0,86690.0
20070105:1800,31.48,22.65,917.95,623.5,323.6,371.55,2.62,269.0,86620.0
20070105:1900,31.58,22.8,741.3,566.28,257.9,373.9,3.24,266.0,86570.0
20070105:2000,31.33,24.35,602.75,576.06,196.15,366.35,3.86,254.0,86530.0
20070105:2100,30.88,25.15,395.95,582.73,93.0,353.2,4.21,244.0,86510.0
20070105:2200,29.86,27.75,165.95,387.08,46.55,339.65,4.62,234.0,86570.0
20070105:2300,28.05,30.5,9.2,47.68,5.1,328.6,4.62,226.0,86680.0
20070106:0000,26.1,34.8,0.0,-0.0,0.0,321.65,4.0,222.0,86780.0
20070106:0100,24.86,39.7,0.0,-0.0,0.0,318.25,2.48,213.0,86890.0
20070106:0200,23.83,42.35,0.0,-0.0,0.0,317.55,1.72,203.0,86950.0
20070106:0300,22.87,45.25,0.0,-0.0,0.0,315.85,0.97,190.0,86990.0
20070106:0400,22.81,45.25,0.0,-0.0,0.0,315.05,0.21,113.0,87000.0
20070106:0500,22.09,46.75,0.0,-0.0,0.0,312.35,0.83,36.0,86960.0
20070106:0600,21.35,49.95,0.0,-0.0,0.0,312.95,0.76,34.0,86890.0
20070106:0700,21.03,53.6,0.0,-0.0,0.0,320.5,0.21,193.0,86850.0
20070106:0800,20.73,55.45,0.0,-0.0,0.0,320.85,0.34,205.0,86820.0
20070106:0900,20.39,57.3,0.0,-0.0,0.0,318.35,0.14,248.0,86820.0
20070106:1000,19.95,59.25,0.0,-0.0,0.0,320.85,0.21,4.0,86850.0
