Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2018,1,1,0,0,1200.0,,,25,1
2018,1,1,1,0,1200.0,,,25,1
2018,1,1,2,0,1200.0,,18.01,25,1
2018,1,1,3,0,1200.0,,18.01,25,1
2018,1,1,4,0,756.375,,18.01,25,1
2018,1,1,5,0,12.75,,18.01,25,1
2018,1,1,6,0,114.03,,99.85,25,1
2018,1,1,7,0,286.48,,231.45,25,1
2018,1,1,8,0,359.75,,284.14,25,1
2018,1,1,9,0,410.25,,242.12,25,1
2018,1,1,10,0,579.0,,209.79000000000002,25,1
2018,1,1,11,0,707.55,,177.46,25,1
2018,1,1,12,0,915.1,,145.13,25,1
2018,1,1,13,0,970.92,,112.8,25,1
2018,1,1,14,0,849.62,,170.2,25,1
2018,1,1,15,0,651.5,,190.65,25,1
2018,1,1,16,0,97.98,,135.175,25,1
2018,1,1,17,0,216.05,,79.7,25,1
2018,1,1,18,0,32.78,,28.23,25,1
2018,1,1,19,0,216.1825,,27.117272727272727,25,1
2018,1,1,20,0,399.58500000000004,,26.004545454545454,25,1
2018,1,1,21,0,582.9875,,24.89181818181818,25,1
2018,1,1,22,0,,,,25,1
2018,1,1,23,0,949.7925,,,25,1
2018,1,2,0,0,1133.195,,,25,1
2018,1,2,1,0,1200.0,,,25,1
2018,1,2,2,0,1200.0,,19.328181818181818,25,1
2018,1,2,3,0,1004.1666666666667,,18.215454545454545,25,1
2018,1,2,4,0,508.33333333333337,,17.10272727272727,25,1
2018,1,2,5,0,12.5,,15.99,25,1
2018,1,2,6,0,163.23,,108.42,25,1
2018,1,2,7,0,389.2,,142.32,25,1
2018,1,2,8,0,605.47,,197.37,25,1
2018,1,2,9,0,767.83,,225.36,25,1
2018,1,2,10,0,962.8,,272.53,25,1
2018,1,2,11,0,1022.58,,214.59,25,1
2018,1,2,12,0,1076.15,,205.39499999999998,25,1
2018,1,2,13,0,1038.93,,196.2,25,1
2018,1,2,14,0,935.45,,89.42,25,1
2018,1,2,15,0,748.72,,111.53,25,1
2018,1,2,16,0,523.6,,80.24,25,1
2018,1,2,17,0,271.95,,70.06,25,1
2018,1,2,18,0,51.78,,26.24,25,1
2018,1,2,19,0,48.46818181818182,,24.937272727272727,25,1
2018,1,2,20,0,45.156363636363636,,23.634545454545453,25,1
2018,1,2,21,0,41.844545454545454,,22.331818181818182,25,1
2018,1,2,22,0,,,,25,1
2018,1,2,23,0,,,,25,1
2018,1,3,0,0,,,,25,1
2018,1,3,1,0,,,,25,1
2018,1,3,2,0,25.285454545454545,,15.818181818181818,25,1
2018,1,3,3,0,21.973636363636363,,14.515454545454546,25,1
2018,1,3,4,0,18.661818181818184,,13.212727272727273,25,1
2018,1,3,5,0,15.35,,11.91,25,1
2018,1,3,6,0,201.1,,59.2,25,1
2018,1,3,7,0,454.75,,78.69,25,1
2018,1,3,8,0,700.1,,101.69,25,1
2018,1,3,9,0,909.17,,112.05,25,1
2018,1,3,10,0,1061.18,,113.28,25,1
2018,1,3,11,0,1144.75,,107.05,25,1
2018,1,3,12,0,1164.32,,62.81,25,1
2018,1,3,13,0,1103.45,,65.55,25,1
2018,1,3,14,0,972.05,,75.15,25,1
2018,1,3,15,0,782.72,,79.09,25,1
2018,1,3,16,0,552.0,,61.19,25,1
2018,1,3,17,0,303.1,,45.83,25,1
2018,1,3,18,0,54.2,,30.47,25,1
2018,1,3,19,0,49.27363636363636,,27.70090909090909,25,1
2018,1,3,20,0,44.34727272727273,,24.93181818181818,25,1
2018,1,3,21,0,39.42090909090909,,22.162727272727274,25,1
2018,1,3,22,0,,,,25,1
2018,1,3,23,0,,,,25,1
2018,1,4,0,0,,,,25,1
2018,1,4,1,0,,,,25,1
2018,1,4,2,0,14.789090909090909,,8.317272727272726,25,1
2018,1,4,3,0,9.86272727272727,,5.548181818181817,25,1
2018,1,4,4,0,4.936363636363637,,2.7790909090909075,25,1
2018,1,4,5,0,0.01,,0.01,25,1
2018,1,4,6,0,156.83,,62.78,25,1
2018,1,4,7,0,387.54,,130.9,25,1
2018,1,4,8,0,597.36,,203.08,25,1
2018,1,4,9,0,908.75,,82.0,25,1
2018,1,4,10,0,1059.93,,83.77,25,1
2018,1,4,11,0,1144.15,,78.26,25,1
2018,1,4,12,0,1159.1,,64.4,25,1
2018,1,4,13,0,1099.15,,74.45,25,1
2018,1,4,14,0,971.53,,72.11,25,1
2018,1,4,15,0,761.49,,67.715,25,1
2018,1,4,16,0,551.45,,63.32,25,1
2018,1,4,17,0,284.08,,73.8,25,1
2018,1,4,18,0,53.03,,26.21,25,1
2018,1,4,19,0,48.21,,23.828181818181818,25,1
2018,1,4,20,0,43.39,,21.446363636363635,25,1
2018,1,4,21,0,38.57,,19.064545454545456,25,1
2018,1,4,22,0,,,,25,1
2018,1,4,23,0,,,,25,1
2018,1,5,0,0,,,,25,1
2018,1,5,1,0,,,,25,1
2018,1,5,2,0,14.469999999999999,,7.155454545454546,25,1
2018,1,5,3,0,9.649999999999999,,4.7736363636363635,25,1
2018,1,5,4,0,4.829999999999998,,2.3918181818181807,25,1
2018,1,5,5,0,0.01,,0.01,25,1
2018,1,5,6,0,154.37,,62.04,25,1
2018,1,5,7,0,385.36,,133.73,25,1
2018,1,5,8,0,595.55,,202.52,25,1
2018,1,5,9,0,770.63,,246.49,25,1
2018,1,5,10,0,1071.65,,66.15,25,1
2018,1,5,11,0,1157.95,,61.84,25,1
2018,1,5,12,0,1172.12,,56.46,25,1
2018,1,5,13,0,1112.82,,60.89,25,1
2018,1,5,14,0,983.8,,65.89,25,1
2018,1,5,15,0,784.17,,115.12,25,1
2018,1,5,16,0,539.7,,108.28,25,1
2018,1,5,17,0,297.33500000000004,,67.985,25,1
2018,1,5,18,0,54.97,,27.69,25,1
2018,1,5,19,0,63.04666666666667,,30.490833333333335,25,1
2018,1,5,20,0,71.12333333333333,,33.29166666666667,25,1
2018,1,5,21,0,79.19999999999999,,36.0925,25,1
2018,1,5,22,0,,,,25,1
2018,1,5,23,0,,,,25,1
2018,1,6,0,0,,,,25,1
2018,1,6,1,0,,,,25,1
2018,1,6,2,0,,,,25,1
2018,1,6,3,0,127.66,,52.8975,25,1
2018,1,6,4,0,135.73666666666668,,55.69833333333334,25,1
2018,1,6,5,0,143.81333333333333,,58.49916666666667,25,1
2018,1,6,6,0,151.89,,61.3,25,1
2018,1,6,7,0,383.17,,133.06,25,1
2018,1,6,8,0,593.74,,201.96,25,1
2018,1,6,9,0,895.17,,70.96,25,1
2018,1,6,10,0,1042.88,,78.44,25,1
2018,1,6,11,0,1126.53,,82.43,25,1
2018,1,6,12,0,1137.75,,93.26,25,1
2018,1,6,13,0,1080.25,,79.95,25,1
2018,1,6,14,0,937.3,,82.23,25,1
2018,1,6,15,0,711.42,,143.09,25,1
2018,1,6,16,0,476.42,,112.01,25,1
2018,1,6,17,0,262.5,,71.89,25,1
2018,1,6,18,0,48.92,,29.41,25,1
2018,1,6,19,0,45.52454545454545,,27.69818181818182,25,1
2018,1,6,20,0,42.12909090909091,,25.986363636363638,25,1
2018,1,6,21,0,38.733636363636364,,24.274545454545454,25,1
2018,1,6,22,0,,,,25,1
2018,1,6,23,0,,,,25,1
2018,1,7,0,0,,,,25,1
2018,1,7,1,0,,,,25,1
2018,1,7,2,0,21.756363636363638,,15.715454545454547,25,1
2018,1,7,3,0,18.360909090909093,,14.003636363636366,25,1
2018,1,7,4,0,14.965454545454548,,12.291818181818183,25,1
2018,1,7,5,0,11.57,,10.58,25,1
2018,1,7,6,0,213.785,,47.095,25,1
2018,1,7,7,0,416.0,,83.61,25,1
2018,1,7,8,0,642.88,,122.06,25,1
2018,1,7,9,0,851.67,,127.61,25,1
2018,1,7,10,0,994.62,,130.65,25,1
2018,1,7,11,0,1072.15,,153.08,25,1
2018,1,7,12,0,1008.05,,247.37,25,1
2018,1,7,13,0,856.38,,236.92666666666668,25,1
2018,1,7,14,0,568.25,,226.48333333333332,25,1
2018,1,7,15,0,446.4,,216.04,25,1
2018,1,7,16,0,261.23,,148.37,25,1
2018,1,7,17,0,130.27,,107.88,25,1
2018,1,7,18,0,27.15,,26.8,25,1
2018,1,7,19,0,237.55714285714285,,25.353636363636365,25,1
2018,1,7,20,0,447.96428571428567,,23.907272727272726,25,1
2018,1,7,21,0,658.3714285714285,,22.46090909090909,25,1
2018,1,7,22,0,868.7785714285714,,,25,1
2018,1,7,23,0,1079.1857142857143,,,25,1
2018,1,8,0,0,1200.0,,,25,1
2018,1,8,1,0,1200.0,,,25,1
2018,1,8,2,0,1127.5625,,15.22909090909091,25,1
2018,1,8,3,0,755.125,,13.782727272727275,25,1
2018,1,8,4,0,382.6875,,12.336363636363638,25,1
2018,1,8,5,0,10.25,,10.89,25,1
2018,1,8,6,0,168.62,,61.23,25,1
2018,1,8,7,0,403.75,,89.23,25,1
2018,1,8,8,0,113.79,,110.52000000000001,25,1
2018,1,8,9,0,838.08,,131.81,25,1
2018,1,8,10,0,927.62,,237.78,25,1
2018,1,8,11,0,1019.65,,214.53,25,1
2018,1,8,12,0,941.4,,185.005,25,1
2018,1,8,13,0,832.6,,155.48,25,1
2018,1,8,14,0,740.85,,255.61,25,1
2018,1,8,15,0,592.3,,275.46,25,1
2018,1,8,16,0,393.9,,164.22,25,1
2018,1,8,17,0,222.75,,72.49,25,1
2018,1,8,18,0,48.85,,27.5,25,1
2018,1,8,19,0,45.06818181818182,,25.759090909090908,25,1
2018,1,8,20,0,41.28636363636364,,24.01818181818182,25,1
2018,1,8,21,0,37.50454545454546,,22.277272727272727,25,1
2018,1,8,22,0,,,,25,1
2018,1,8,23,0,,,,25,1
2018,1,9,0,0,,,,25,1
2018,1,9,1,0,,,,25,1
2018,1,9,2,0,18.595454545454547,,13.572727272727274,25,1
2018,1,9,3,0,14.813636363636363,,11.831818181818184,25,1
2018,1,9,4,0,11.031818181818181,,10.090909090909093,25,1
2018,1,9,5,0,7.25,,8.35,25,1
2018,1,9,6,0,139.68,,84.27,25,1
2018,1,9,7,0,382.28,,109.88499999999999,25,1
2018,1,9,8,0,624.88,,135.5,25,1
2018,1,9,9,0,811.45,,173.68,25,1
2018,1,9,10,0,837.92,,183.19,25,1
2018,1,9,11,0,882.8,,192.70000000000002,25,1
2018,1,9,12,0,930.38,,202.21,25,1
2018,1,9,13,0,1200.0,,211.72,25,1
2018,1,9,14,0,701.35,,221.23000000000002,25,1
2018,1,9,15,0,528.67,,230.74,25,1
2018,1,9,16,0,349.8,,240.25,25,1
2018,1,9,17,0,166.9,,126.48,25,1
2018,1,9,18,0,36.05,,34.59,25,1
2018,1,9,19,0,33.50181818181818,,32.36545454545455,25,1
2018,1,9,20,0,30.953636363636363,,30.140909090909094,25,1
2018,1,9,21,0,28.405454545454543,,27.916363636363638,25,1
2018,1,9,22,0,,,,25,1
2018,1,9,23,0,,,,25,1
2018,1,10,0,0,,,,25,1
2018,1,10,1,0,,,,25,1
2018,1,10,2,0,15.664545454545454,,16.793636363636363,25,1
2018,1,10,3,0,13.116363636363637,,14.569090909090907,25,1
2018,1,10,4,0,10.56818181818182,,12.344545454545454,25,1
2018,1,10,5,0,8.02,,10.12,25,1
2018,1,10,6,0,154.82,,83.31,25,1
2018,1,10,7,0,397.4,,118.23,25,1
