CPARRADO,00000,AUSTRALIA_Site,NA,AUSTRALIA,-30.0,135.0,9,300
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,RH,Pres,Wspd,Wdir
2018,1,1,0,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,1,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,2,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,3,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,4,0,6.375,0,8.2475,25,40,101325,1,180
2018,1,1,5,0,63.39,0,58.1725,25,40,101325,1,180
2018,1,1,6,0,63.39,0,58.1725,25,40,101325,1,180
2018,1,1,7,0,200.255,0,165.64999999999998,25,40,101325,1,180
2018,1,1,8,0,323.115,0,236.785,25,40,101325,1,180
2018,1,1,9,0,385.0,0,263.13,25,40,101325,1,180
2018,1,1,10,0,494.625,0,299.755,25,40,101325,1,180
2018,1,1,11,0,643.275,0,323.545,25,40,101325,1,180
2018,1,1,12,0,811.325,0,323.545,25,40,101325,1,180
2018,1,1,13,0,882.36,0,242.785,25,40,101325,1,180
2018,1,1,14,0,882.36,0,180.425,25,40,101325,1,180
2018,1,1,15,0,750.56,0,180.425,25,40,101325,1,180
2018,1,1,16,0,433.775,0,180.425,25,40,101325,1,180
2018,1,1,17,0,157.015,0,135.175,25,40,101325,1,180
2018,1,1,18,0,65.38,0,53.965,25,40,101325,1,180
2018,1,1,19,0,16.39,0,14.115,25,40,101325,1,180
2018,1,1,20,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,21,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,22,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,23,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,0,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,1,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,2,0,149.99999999999147,0,149.99999999999147,25,40,101325,1,180
2018,1,2,3,0,149.99999999999147,0,149.99999999999147,25,40,101325,1,180
2018,1,2,4,0,12.5,0,15.99,25,40,101325,1,180
2018,1,2,5,0,12.5,0,15.99,25,40,101325,1,180
2018,1,2,6,0,87.865,0,62.205,25,40,101325,1,180
2018,1,2,7,0,276.215,0,125.37,25,40,101325,1,180
2018,1,2,8,0,497.335,0,169.845,25,40,101325,1,180
2018,1,2,9,0,686.6500000000001,0,211.365,25,40,101325,1,180
2018,1,2,10,0,865.315,0,219.975,25,40,101325,1,180
2018,1,2,11,0,992.69,0,248.945,25,40,101325,1,180
2018,1,2,12,0,1030.755,0,243.56,25,40,101325,1,180
2018,1,2,13,0,1030.755,0,205.395,25,40,101325,1,180
2018,1,2,14,0,987.19,0,153.865,25,40,101325,1,180
