Site,Calama
Latitude,-22.45
Longitude,-68.93
Timezone,-4
Elevation,1000
,,,,,,,,,
,,,,,,,,,
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Tdry,Wspd
2020,1,1,1,0,0.0,0.0,1082.207401007555,8.15,8.75
2020,1,1,2,0,0.0,0.0,0.0,7.7,3.2
2020,1,1,3,0,0.0,0.0,0.0,7.550000000000001,3.1
2020,1,1,4,0,0.0,0.0,0.0,7.5,3.1
2020,1,1,5,0,0.0,0.0,0.0,7.5,3.55
2020,1,1,6,0,0.0,0.0,0.0,8.35,4.05
2020,1,1,7,0,0.8,0.425,0.0,9.95,4.05
2020,1,1,8,0,108.05,15.175,430.05,12.65,4.05
2020,1,1,9,0,346.95,32.95,937.8,16.5,4.2
2020,1,1,10,0,606.45,38.05,1049.35,20.0,4.25
2020,1,1,11,0,837.15,40.6,1101.3000000000002,22.2,5.55
2020,1,1,12,0,1016.85,42.0,1129.45,23.0,6.95
2020,1,1,13,0,1134.6,42.7,1129.45,23.450000000000003,8.25
2020,1,1,14,0,1149.3,42.8,1139.55,24.05,9.0
2020,1,1,15,0,1149.3,42.8,1130.35,24.65,9.0
2020,1,1,16,0,1055.15,42.25,1104.85,25.0,8.65
2020,1,1,17,0,891.5,41.05,1104.85,25.0,8.2
2020,1,1,18,0,676.9,38.95,1059.9,24.4,7.75
2020,1,1,19,0,430.1,34.900000000000006,974.4,22.65,7.0
2020,1,1,20,0,177.29999999999998,24.15,718.4000000000001,20.15,5.85
2020,1,1,21,0,26.6,8.05,259.6,17.75,4.2
2020,1,1,22,0,0.0,0.0,0.0,15.9,2.45
2020,1,1,23,0,0.0,0.0,0.0,14.25,2.05
2020,1,1,24,0,0.0,0.0,0.0,12.5,2.05
2020,1,2,1,0,0.0,0.0,0.0,11.05,2.65
2020,1,2,2,0,0.0,0.0,0.0,10.25,2.95
2020,1,2,3,0,0.0,0.0,0.0,10.0,3.2
2020,1,2,4,0,0.0,0.0,0.0,10.0,3.4
2020,1,2,5,0,0.0,0.0,0.0,10.1,3.4
2020,1,2,6,0,0.0,0.0,0.0,10.4,3.35
2020,1,2,7,0,0.05,0.05,0.0,11.15,3.3
2020,1,2,8,0,39.3,38.35,4.15,13.1,3.15
2020,1,2,9,0,149.1,130.3875,9.1,16.1,2.5
2020,1,2,10,0,314.1,130.3875,11.15,18.95,2.5
2020,1,2,11,0,504.65,292.38750000000005,20.55,20.9,3.5
2020,1,2,12,0,682.0999999999999,556.7,41.8,21.8,3.5
2020,1,2,13,0,821.55,754.0,70.25,22.35,6.15
2020,1,2,14,0,821.55,754.0,87.55,23.05,7.699999999999999
2020,1,2,15,0,813.05,747.25,87.55,23.85,8.05
2020,1,2,16,0,762.0,595.2,169.0,24.3,8.05
2020,1,2,17,0,645.9,265.55,625.65,24.3,7.75
2020,1,2,18,0,525.35,38.6,946.7,23.5,7.1
2020,1,2,19,0,419.9,34.55,946.7,21.5,6.2
2020,1,2,20,0,173.29999999999998,24.0,445.3,19.3,5.550000000000001
2020,1,2,21,0,26.1,8.05,0.0,17.35,4.6
2020,1,2,22,0,0.0,0.0,0.0,15.65,3.1
2020,1,2,23,0,0.0,0.0,0.0,14.05,1.95
2020,1,2,24,0,0.0,0.0,0.0,12.4,1.35
2020,1,3,1,0,0.0,0.0,0.0,10.95,1.2999999999999998
2020,1,3,2,0,0.0,0.0,0.0,10.05,1.2999999999999998
2020,1,3,3,0,0.0,0.0,0.0,10.05,1.7
2020,1,3,4,0,0.0,0.0,0.0,10.25,2.15
2020,1,3,5,0,0.0,0.0,0.0,10.7,2.35
2020,1,3,6,0,0.0,0.0,0.0,10.75,2.4
2020,1,3,7,0,0.3,0.3,0.0,11.5,2.35
2020,1,3,8,0,105.75,14.75,407.6,13.8,2.35
2020,1,3,9,0,314.1,32.45,414.1,17.05,2.4
2020,1,3,10,0,441.9,222.5,423.15,19.65,2.65
2020,1,3,11,0,541.65,500.45,45.900000000000006,21.3,4.55
2020,1,3,12,0,701.5,661.15,45.900000000000006,22.15,4.55
2020,1,3,13,0,837.0,661.15,74.55000000000001,22.75,7.1
2020,1,3,14,0,990.15,386.55,597.8000000000001,23.8,4.05
2020,1,3,15,0,1027.7,42.5,597.8000000000001,24.4,4.05
2020,1,3,16,0,1027.7,41.9,1082.3000000000002,24.4,7.75
2020,1,3,17,0,869.0999999999999,40.7,1028.6,24.25,7.15
2020,1,3,18,0,660.15,40.7,504.3,23.25,7.15
2020,1,3,19,0,327.7,38.5,740.95,21.6,6.2
2020,1,3,20,0,80.95,26.5,245.45,20.1,5.2
2020,1,3,21,0,25.75,7.95,4.4,18.95,3.85
2020,1,3,22,0,0.0,0.0,0.0,17.75,2.2
2020,1,3,23,0,0.0,0.0,0.0,16.700000000000003,1.4500000000000002
2020,1,3,24,0,0.0,0.0,0.0,15.95,1.25
2020,1,4,1,0,0.0,0.0,0.0,15.3,1.25
2020,1,4,2,0,0.0,0.0,0.0,14.8,1.25
2020,1,4,3,0,0.0,0.0,0.0,14.25,1.4
2020,1,4,4,0,0.0,0.0,0.0,13.6,1.5
2020,1,4,5,0,0.0,0.0,0.0,12.75,1.6
2020,1,4,6,0,0.0,0.0,0.0,12.1,1.7
2020,1,4,7,0,0.1,0.1,0.0,12.1,1.7999999999999998
2020,1,4,8,0,0.1,18.0,4.05,13.1,1.7999999999999998
2020,1,4,9,0,45.0,61.9,11.45,15.7,1.95
2020,1,4,10,0,264.55,64.5,494.75,18.25,2.2
2020,1,4,11,0,673.75,38.4,1029.45,20.1,3.85
2020,1,4,12,0,983.4,41.8,1094.8000000000002,21.45,6.35
2020,1,4,13,0,1100.6999999999998,41.8,1110.2,22.5,8.05
2020,1,4,14,0,1118.75,42.45,1111.95,22.5,8.35
2020,1,4,15,0,1118.75,42.45,1111.95,23.45,8.35
2020,1,4,16,0,1030.35,41.9,1100.4,23.7,8.05
2020,1,4,17,0,872.45,41.9,1076.35,23.7,7.7
2020,1,4,18,0,475.7,40.7,535.4499999999999,22.8,7.0
2020,1,4,19,0,112.55,33.85,248.9,21.0,6.25
2020,1,4,20,0,41.5,21.950000000000003,9.45,18.35,5.35
2020,1,4,21,0,15.2,8.05,4.4,16.15,4.0
2020,1,4,22,0,0.0,0.0,0.0,15.25,2.3
2020,1,4,23,0,0.0,0.0,0.0,15.25,1.25
2020,1,4,24,0,0.0,0.0,0.0,14.85,1.25
2020,1,5,1,0,0.0,0.0,0.0,14.4,1.1
2020,1,5,2,0,0.0,0.0,0.0,13.9,1.25
2020,1,5,3,0,0.0,0.0,0.0,13.2,1.4
2020,1,5,4,0,0.0,0.0,0.0,12.3,1.5499999999999998
2020,1,5,5,0,0.0,0.0,0.0,11.5,1.75
2020,1,5,6,0,0.0,0.0,0.0,11.5,1.8
2020,1,5,7,0,0.0,0.0,0.0,11.5,1.75
2020,1,5,8,0,47.55,17.95,4.0,13.2,1.65
2020,1,5,9,0,278.05,37.6,491.3,16.65,1.65
2020,1,5,10,0,581.95,40.25,1010.75,19.5,2.5
2020,1,5,11,0,805.5,40.25,1066.25,21.1,2.25
2020,1,5,12,0,983.85,41.7,1066.25,21.5,4.75
2020,1,5,13,0,1102.8,42.5,1096.4499999999998,21.5,7.3
2020,1,5,14,0,1123.85,42.65,1111.3,22.200000000000003,8.5
2020,1,5,15,0,1123.85,42.65,557.65,23.0,8.5
2020,1,5,16,0,1038.15,42.1,1093.8,23.45,8.25
2020,1,5,17,0,881.5,41.0,1045.6,23.45,7.9
2020,1,5,18,0,544.0,38.95,957.95,22.9,7.550000000000001
2020,1,5,19,0,176.9,34.85,957.95,21.25,6.95
2020,1,5,20,0,27.1,24.25,698.4,19.05,5.9
2020,1,5,21,0,27.1,8.2,249.9,16.9,4.5
2020,1,5,22,0,0.0,0.0,0.0,14.95,3.1
2020,1,5,23,0,0.0,0.0,0.0,13.25,1.9
2020,1,5,24,0,0.0,0.0,0.0,11.8,1.5
2020,1,6,1,0,0.0,0.0,0.0,10.6,1.5
2020,1,6,2,0,0.0,0.0,0.0,9.6,1.9
2020,1,6,3,0,0.0,0.0,0.0,8.75,2.3
2020,1,6,4,0,0.0,0.0,0.0,8.15,2.55
2020,1,6,5,0,0.0,0.0,0.0,7.75,2.6
2020,1,6,6,0,0.0,0.0,0.0,7.75,2.6500000000000004
2020,1,6,7,0,0.0,0.0,0.0,8.6,2.75
2020,1,6,8,0,104.3,14.45,0.0,11.3,2.75
2020,1,6,9,0,338.8,32.55,415.15,14.9,2.7
2020,1,6,10,0,592.0,37.900000000000006,949.25,18.0,2.7
2020,1,6,11,0,819.2,37.900000000000006,1087.1,19.95,4.15
2020,1,6,12,0,819.2,40.5,1116.7,21.1,6.65
2020,1,6,13,0,1049.8,42.15,1131.75,21.85,8.25
2020,1,6,14,0,1145.65,42.75,1132.4499999999998,22.6,8.7
2020,1,6,15,0,1050.1,42.75,1132.4499999999998,23.7,8.7
2020,1,6,16,0,1050.1,42.2,1120.4,24.6,8.35
2020,1,6,17,0,1050.1,41.05,1096.75,24.6,7.949999999999999
2020,1,6,18,0,890.5,38.95,1053.65,24.35,7.45
2020,1,6,19,0,550.2,34.95,967.7,22.8,6.7
2020,1,6,20,0,180.55,24.55,714.9000000000001,20.55,5.65
2020,1,6,21,0,28.3,8.4,260.1,18.45,4.15
2020,1,6,22,0,0.0,0.0,0.0,16.6,2.3
2020,1,6,23,0,0.0,0.0,0.0,15.05,1.65
2020,1,6,24,0,0.0,0.0,0.0,13.65,1.65
2020,1,7,1,0,0.0,0.0,0.0,12.3,2.0
2020,1,7,2,0,0.0,0.0,0.0,11.2,2.2
2020,1,7,3,0,0.0,0.0,0.0,10.15,2.5
2020,1,7,4,0,0.0,0.0,0.0,9.3,2.8
2020,1,7,5,0,0.0,0.0,0.0,8.8,2.95
2020,1,7,6,0,0.0,0.0,0.0,8.8,3.1
2020,1,7,7,0,0.0,0.0,0.0,9.6,3.1
2020,1,7,8,0,103.5,14.35,416.6,12.15,3.1
2020,1,7,9,0,337.5,32.4,916.45,15.6,2.8
2020,1,7,10,0,591.1,37.8,1034.75,18.55,2.1
2020,1,7,11,0,818.2,40.4,1088.15,20.3,2.1
2020,1,7,12,0,998.95,41.8,1116.55,20.3,5.15
2020,1,7,13,0,1118.9,42.55,1130.9499999999998,21.4,3.85
2020,1,7,14,0,1138.4499999999998,42.7,1131.65,10.9,8.0
2020,1,7,15,0,1138.4499999999998,42.7,1131.65,11.8,8.2
2020,1,7,16,0,1049.6,42.150000000000006,1119.1,24.450000000000003,7.9
2020,1,7,17,0,889.65,40.95,1094.4,12.65,7.9
2020,1,7,18,0,678.05,38.85,1050.4,23.6,7.5
2020,1,7,19,0,433.15,35.85,965.5,10.95,6.949999999999999
2020,1,7,20,0,181.25,33.25,717.2,8.8,6.05
2020,1,7,21,0,28.7,16.15,262.8,16.75,4.7
2020,1,7,22,0,0.0,0.0,0.0,15.25,3.1
2020,1,7,23,0,0.0,0.0,0.0,15.25,1.7999999999999998
2020,1,7,24,0,0.0,0.0,0.0,13.9,1.35
2020,1,8,1,0,0.0,0.0,0.0,12.75,1.35
2020,1,8,2,0,0.0,0.0,0.0,11.95,1.65
2020,1,8,3,0,0.0,0.0,0.0,11.05,1.95
2020,1,8,4,0,0.0,0.0,0.0,9.3,2.1
2020,1,8,5,0,0.0,0.0,0.0,7.85,2.35
2020,1,8,6,0,0.0,0.0,0.0,7.85,2.8
2020,1,8,7,0,0.0,0.0,0.0,8.7,2.7
2020,1,8,8,0,100.95,14.25,409.7,10.9,2.7
2020,1,8,9,0,321.8,32.25,417.3,14.15,2.4
2020,1,8,10,0,451.6,38.65,904.4,17.05,2.4
2020,1,8,11,0,687.95,41.85,1043.95,19.0,3.35
2020,1,8,12,0,991.15,42.6,1108.7,20.1,5.9
2020,1,8,13,0,1110.9,42.6,1123.1,20.9,7.55
2020,1,8,14,0,1130.6,42.65,1123.35,21.85,8.149999999999999
2020,1,8,15,0,1130.6,42.65,1123.35,23.05,8.149999999999999
2020,1,8,16,0,1042.75,42.1,1110.65,23.9,8.149999999999999
2020,1,8,17,0,884.2,40.95,1086.3000000000002,23.9,7.85
2020,1,8,18,0,674.2,38.85,1042.5,23.3,7.3
2020,1,8,19,0,307.70000000000005,34.85,957.45,21.35,6.5
2020,1,8,20,0,28.6,24.5,709.5,19.2,5.4
2020,1,8,21,0,0.0,8.4,259.2,17.5,3.8
2020,1,8,22,0,0.0,0.0,0.0,15.85,2.3
2020,1,8,23,0,0.0,0.0,0.0,14.35,1.1
2020,1,8,24,0,0.0,0.0,0.0,13.25,0.6000000000000001
2020,1,9,1,0,0.0,338.8154294860974,0.0,13.25,0.6000000000000001
2020,1,9,2,0,0.0,338.8154294860974,0.0,12.1,1.15
2020,1,9,3,0,0.0,0.0,0.0,10.35,1.7
2020,1,9,4,0,0.0,0.0,0.0,8.8,1.7
2020,1,9,5,0,0.0,0.0,0.0,8.1,2.3
2020,1,9,6,0,0.0,0.0,0.0,8.1,2.75
2020,1,9,7,0,0.0,0.0,0.0,7.55,2.8
2020,1,9,8,0,38.35,17.8,4.0,8.25,2.8
2020,1,9,9,0,265.85,37.400000000000006,493.9,12.6,2.05
2020,1,9,10,0,566.55,57.1,510.85,17.2,2.05
2020,1,9,11,0,688.95,40.7,1016.5,19.2,3.1
2020,1,9,12,0,880.9,42.45,1083.4,20.65,5.9
