Timestamp,GHI,DHI,GHI_clean,DHI_clean
2018-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 05:00:00+00:00,72.85,40.03,0.0,0.0
2018-01-01 06:00:00+00:00,,,72.85,40.03
2018-01-01 07:00:00+00:00,571.88,103.72,571.88,103.72
2018-01-01 08:00:00+00:00,802.45,107.48,802.45,107.48
2018-01-01 09:00:00+00:00,983.03,118.52,892.74,113.0
2018-01-01 10:00:00+00:00,1102.28,130.18,1042.655,124.35
2018-01-01 11:00:00+00:00,1144.95,160.9,1108.83,145.54000000000002
2018-01-01 12:00:00+00:00,1115.38,226.94,1108.83,189.26999999999998
2018-01-01 13:00:00+00:00,975.03,217.64,1045.205,222.29
2018-01-01 14:00:00+00:00,796.6,230.38,885.815,223.425
2018-01-01 15:00:00+00:00,584.55,219.91,690.575,225.14499999999998
2018-01-01 16:00:00+00:00,138.44,355.1,361.495,225.14499999999998
2018-01-01 17:00:00+00:00,135.45,72.84,136.945,146.375
2018-01-01 18:00:00+00:00,5.88,7.47,70.66499999999999,40.155
2018-01-01 19:00:00+00:00,0.0,0.0,2.94,3.735
2018-01-01 20:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 21:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-01 22:00:00+00:00,,,0.0,0.0
2018-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 05:00:00+00:00,73.55,34.4,0.0,0.0
2018-01-02 06:00:00+00:00,,,73.55,34.4
2018-01-02 07:00:00+00:00,576.75,86.84,576.75,86.84
2018-01-02 08:00:00+00:00,809.47,88.26,809.47,88.26
2018-01-02 09:00:00+00:00,991.72,93.07,900.595,88.58000000000001
2018-01-02 10:00:00+00:00,1116.38,88.9,1054.0500000000002,90.95500000000001
2018-01-02 11:00:00+00:00,1166.82,93.01,1127.99,93.03999999999999
2018-01-02 12:00:00+00:00,1139.6,134.19,1127.99,113.6
2018-01-02 13:00:00+00:00,1037.03,174.78,1088.315,154.485
2018-01-02 14:00:00+00:00,870.55,177.29,953.79,170.14499999999998
2018-01-02 15:00:00+00:00,654.88,165.51,762.7149999999999,170.14499999999998
2018-01-02 16:00:00+00:00,403.4,131.73,529.14,148.62
2018-01-02 17:00:00+00:00,156.15,66.85,403.4,131.73
2018-01-02 18:00:00+00:00,,,156.15,66.85
2018-01-02 19:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 20:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 21:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 22:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-02 23:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0
2018-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0
