Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2018,1,1,0,0,,,,25,1
2018,1,1,1,0,,,,25,1
2018,1,1,2,0,72.85,,40.03,25,1
2018,1,1,3,0,72.85,,40.03,25,1
2018,1,1,4,0,72.85,,40.03,25,1
2018,1,1,5,0,72.85,,40.03,25,1
2018,1,1,6,0,322.365,,71.875,25,1
2018,1,1,7,0,571.88,,103.72,25,1
2018,1,1,8,0,802.45,,107.48,25,1
2018,1,1,9,0,983.03,,118.52,25,1
2018,1,1,10,0,1102.28,,130.18,25,1
2018,1,1,11,0,1144.95,,160.9,25,1
2018,1,1,12,0,1115.38,,226.94,25,1
2018,1,1,13,0,975.03,,217.64,25,1
2018,1,1,14,0,796.6,,230.38,25,1
2018,1,1,15,0,584.55,,219.91,25,1
2018,1,1,16,0,138.44,,146.375,25,1
2018,1,1,17,0,135.45,,72.84,25,1
2018,1,1,18,0,5.88,,7.47,25,1
2018,1,1,19,0,12.031818181818181,,9.918181818181818,25,1
2018,1,1,20,0,18.183636363636364,,12.366363636363637,25,1
2018,1,1,21,0,24.335454545454546,,14.814545454545454,25,1
2018,1,1,22,0,,,,25,1
2018,1,1,23,0,,,,25,1
2018,1,2,0,0,,,,25,1
2018,1,2,1,0,,,,25,1
2018,1,2,2,0,55.09454545454546,,27.055454545454545,25,1
2018,1,2,3,0,61.24636363636365,,29.503636363636364,25,1
2018,1,2,4,0,67.39818181818183,,31.951818181818183,25,1
2018,1,2,5,0,73.55,,34.4,25,1
2018,1,2,6,0,325.15,,60.620000000000005,25,1
2018,1,2,7,0,576.75,,86.84,25,1
2018,1,2,8,0,809.47,,88.26,25,1
2018,1,2,9,0,991.72,,93.07,25,1
2018,1,2,10,0,1116.38,,88.9,25,1
2018,1,2,11,0,1166.82,,93.01,25,1
2018,1,2,12,0,1139.6,,134.19,25,1
2018,1,2,13,0,1037.03,,174.78,25,1
2018,1,2,14,0,870.55,,177.29,25,1
2018,1,2,15,0,654.88,,165.51,25,1
2018,1,2,16,0,403.4,,131.73,25,1
2018,1,2,17,0,156.15,,66.85,25,1
2018,1,2,18,0,149.15583333333333,,64.38499999999999,25,1
2018,1,2,19,0,142.16166666666666,,61.919999999999995,25,1
2018,1,2,20,0,135.16750000000002,,59.455,25,1
2018,1,2,21,0,,,,25,1
2018,1,2,22,0,,,,25,1
2018,1,2,23,0,,,,25,1
2018,1,3,0,0,,,,25,1
2018,1,3,1,0,,,,25,1
2018,1,3,2,0,93.2025,,44.665,25,1
2018,1,3,3,0,86.20833333333333,,42.2,25,1
2018,1,3,4,0,79.21416666666666,,39.735,25,1
2018,1,3,5,0,72.22,,37.27,25,1
2018,1,3,6,0,316.98,,68.26,25,1
2018,1,3,7,0,100.8,,87.75,25,1
2018,1,3,8,0,814.62,,107.24,25,1
2018,1,3,9,0,1003.95,,106.74,25,1
2018,1,3,10,0,1126.07,,108.71,25,1
2018,1,3,11,0,1180.8,,90.03,25,1
2018,1,3,12,0,1153.07,,141.81,25,1
2018,1,3,13,0,1049.4,,165.47,25,1
2018,1,3,14,0,882.33,,172.77,25,1
2018,1,3,15,0,658.2,,159.72,25,1
2018,1,3,16,0,404.02,,116.97,25,1
2018,1,3,17,0,153.43,,74.35,25,1
2018,1,3,18,0,6.72,,8.46,25,1
2018,1,3,19,0,31.51583333333333,,17.811666666666667,25,1
2018,1,3,20,0,56.31166666666666,,27.163333333333334,25,1
2018,1,3,21,0,81.10749999999999,,36.515,25,1
2018,1,3,22,0,,,,25,1
2018,1,3,23,0,,,,25,1
2018,1,4,0,0,,,,25,1
2018,1,4,1,0,,,,25,1
2018,1,4,2,0,,,,25,1
2018,1,4,3,0,229.88249999999996,,92.625,25,1
2018,1,4,4,0,254.6783333333333,,101.97666666666666,25,1
2018,1,4,5,0,279.4741666666667,,111.32833333333335,25,1
2018,1,4,6,0,304.27,,120.68,25,1
2018,1,4,7,0,573.22,,100.41,25,1
2018,1,4,8,0,819.2,,66.44,25,1
2018,1,4,9,0,1007.67,,61.21,25,1
2018,1,4,10,0,1134.03,,70.53,25,1
2018,1,4,11,0,92.09,,114.015,25,1
2018,1,4,12,0,1153.28,,157.5,25,1
2018,1,4,13,0,1051.62,,178.68,25,1
2018,1,4,14,0,1200.0,,177.585,25,1
2018,1,4,15,0,659.28,,176.49,25,1
2018,1,4,16,0,407.62,,126.14,25,1
2018,1,4,17,0,154.32,,77.69,25,1
2018,1,4,18,0,147.66416666666666,,73.41499999999999,25,1
2018,1,4,19,0,141.00833333333333,,69.14,25,1
2018,1,4,20,0,134.3525,,64.865,25,1
2018,1,4,21,0,,,,25,1
2018,1,4,22,0,,,,25,1
2018,1,4,23,0,,,,25,1
2018,1,5,0,0,,,,25,1
2018,1,5,1,0,,,,25,1
2018,1,5,2,0,94.41749999999999,,39.215,25,1
2018,1,5,3,0,87.76166666666667,,34.940000000000005,25,1
2018,1,5,4,0,81.10583333333334,,30.665000000000006,25,1
2018,1,5,5,0,74.45,,26.39,25,1
2018,1,5,6,0,323.73,,47.66,25,1
2018,1,5,7,0,584.28,,57.84,25,1
2018,1,5,8,0,816.47,,63.2,25,1
2018,1,5,9,0,1004.2,,63.34,25,1
2018,1,5,10,0,1128.6,,64.41,25,1
2018,1,5,11,0,1180.82,,70.24,25,1
2018,1,5,12,0,1156.25,,118.21,25,1
2018,1,5,13,0,1056.47,,154.16,25,1
2018,1,5,14,0,866.835,,142.745,25,1
2018,1,5,15,0,677.2,,131.33,25,1
2018,1,5,16,0,425.62,,97.39,25,1
2018,1,5,17,0,169.38,,59.73,25,1
2018,1,5,18,0,7.55,,8.16,25,1
2018,1,5,19,0,13.131818181818183,,10.170909090909092,25,1
2018,1,5,20,0,18.713636363636365,,12.181818181818183,25,1
2018,1,5,21,0,24.295454545454547,,14.192727272727273,25,1
2018,1,5,22,0,,,,25,1
2018,1,5,23,0,,,,25,1
2018,1,6,0,0,,,,25,1
2018,1,6,1,0,,,,25,1
2018,1,6,2,0,52.20454545454545,,24.24727272727273,25,1
2018,1,6,3,0,57.78636363636363,,26.25818181818182,25,1
2018,1,6,4,0,63.36818181818182,,28.269090909090913,25,1
2018,1,6,5,0,68.95,,30.28,25,1
2018,1,6,6,0,314.08,,60.29,25,1
2018,1,6,7,0,574.7,,76.64,25,1
2018,1,6,8,0,807.3,,86.82,25,1
2018,1,6,9,0,994.53,,87.93,25,1
2018,1,6,10,0,1200.0,,96.54,25,1
2018,1,6,11,0,1172.62,,105.15,25,1
2018,1,6,12,0,1146.2,,137.44,25,1
2018,1,6,13,0,1047.88,,180.0,25,1
2018,1,6,14,0,876.92,,183.18,25,1
2018,1,6,15,0,1200.0,,155.79500000000002,25,1
2018,1,6,16,0,405.62,,128.41,25,1
2018,1,6,17,0,156.45,,73.73,25,1
2018,1,6,18,0,7.05,,8.22,25,1
2018,1,6,19,0,11.363636363636363,,10.535454545454545,25,1
2018,1,6,20,0,15.677272727272726,,12.850909090909092,25,1
2018,1,6,21,0,19.990909090909092,,15.166363636363638,25,1
2018,1,6,22,0,,,,25,1
2018,1,6,23,0,,,,25,1
2018,1,7,0,0,,,,25,1
2018,1,7,1,0,,,,25,1
2018,1,7,2,0,41.559090909090905,,26.743636363636362,25,1
2018,1,7,3,0,45.87272727272727,,29.059090909090912,25,1
2018,1,7,4,0,50.18636363636363,,31.374545454545455,25,1
2018,1,7,5,0,54.5,,33.69,25,1
2018,1,7,6,0,287.92,,79.65,25,1
2018,1,7,7,0,540.75,,103.76,25,1
2018,1,7,8,0,770.72,,114.08,25,1
2018,1,7,9,0,1200.0,,121.035,25,1
2018,1,7,10,0,1081.57,,127.99,25,1
2018,1,7,11,0,1142.65,,72.07,25,1
2018,1,7,12,0,1121.6,,86.88,25,1
2018,1,7,13,0,1028.5,,114.52,25,1
2018,1,7,14,0,863.53,,129.1,25,1
2018,1,7,15,0,653.15,,124.25,25,1
2018,1,7,16,0,406.33,,96.76,25,1
2018,1,7,17,0,158.18,,60.47,25,1
2018,1,7,18,0,6.95,,7.72,25,1
2018,1,7,19,0,11.186363636363636,,10.173636363636364,25,1
2018,1,7,20,0,15.422727272727272,,12.627272727272727,25,1
2018,1,7,21,0,19.659090909090907,,15.080909090909092,25,1
2018,1,7,22,0,,,,25,1
2018,1,7,23,0,,,,25,1
2018,1,8,0,0,,,,25,1
2018,1,8,1,0,,,,25,1
2018,1,8,2,0,40.840909090909086,,27.349090909090908,25,1
2018,1,8,3,0,45.07727272727272,,29.80272727272727,25,1
2018,1,8,4,0,49.313636363636355,,32.25636363636364,25,1
2018,1,8,5,0,53.55,,34.71,25,1
2018,1,8,6,0,270.88,,98.25,25,1
2018,1,8,7,0,523.5,,140.88,25,1
2018,1,8,8,0,759.75,,158.06,25,1
2018,1,8,9,0,949.17,,169.47,25,1
2018,1,8,10,0,1079.43,,166.84,25,1
2018,1,8,11,0,1154.22,,58.65,25,1
2018,1,8,12,0,1136.57,,59.77,25,1
2018,1,8,13,0,1040.35,,77.29,25,1
2018,1,8,14,0,885.28,,78.16,25,1
2018,1,8,15,0,672.88,,85.06,25,1
2018,1,8,16,0,416.12,,80.19,25,1
2018,1,8,17,0,170.02,,47.71,25,1
2018,1,8,18,0,7.93,,7.48,25,1
2018,1,8,19,0,12.077272727272728,,10.015454545454546,25,1
2018,1,8,20,0,16.224545454545456,,12.55090909090909,25,1
2018,1,8,21,0,20.37181818181818,,15.086363636363636,25,1
2018,1,8,22,0,,,,25,1
2018,1,8,23,0,,,,25,1
2018,1,9,0,0,,,,25,1
2018,1,9,1,0,,,,25,1
2018,1,9,2,0,41.10818181818182,,27.763636363636362,25,1
2018,1,9,3,0,45.25545454545455,,30.299090909090907,25,1
