CPARRADO,00000,CHILE_Site,NA,CHILE,-23.0,-70.4,-4,1259
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,RH,Pres,Wspd,Wdir
2018,1,1,0,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,1,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,2,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,3,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,4,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,5,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,6,0,72.85,0,40.03,25,40,101325,1,180
2018,1,1,7,0,571.88,0,103.72,25,40,101325,1,180
2018,1,1,8,0,802.45,0,107.48,25,40,101325,1,180
2018,1,1,9,0,892.74,0,113.0,25,40,101325,1,180
2018,1,1,10,0,1042.655,0,124.35,25,40,101325,1,180
2018,1,1,11,0,1108.83,0,145.54000000000002,25,40,101325,1,180
2018,1,1,12,0,1108.83,0,189.27,25,40,101325,1,180
2018,1,1,13,0,1045.205,0,222.29,25,40,101325,1,180
2018,1,1,14,0,885.815,0,223.425,25,40,101325,1,180
2018,1,1,15,0,690.575,0,225.145,25,40,101325,1,180
2018,1,1,16,0,361.495,0,225.145,25,40,101325,1,180
2018,1,1,17,0,136.945,0,146.375,25,40,101325,1,180
2018,1,1,18,0,70.66499999999999,0,40.155,25,40,101325,1,180
2018,1,1,19,0,2.94,0,3.735,25,40,101325,1,180
2018,1,1,20,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,21,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,22,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,23,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,0,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,1,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,2,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,3,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,4,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,5,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,6,0,73.55,0,34.4,25,40,101325,1,180
2018,1,2,7,0,576.75,0,86.84,25,40,101325,1,180
2018,1,2,8,0,809.47,0,88.26,25,40,101325,1,180
2018,1,2,9,0,900.595,0,88.58000000000001,25,40,101325,1,180
2018,1,2,10,0,1054.0500000000002,0,90.955,25,40,101325,1,180
2018,1,2,11,0,1127.99,0,93.04,25,40,101325,1,180
2018,1,2,12,0,1127.99,0,113.6,25,40,101325,1,180
2018,1,2,13,0,1088.315,0,154.485,25,40,101325,1,180
2018,1,2,14,0,953.79,0,170.14499999999998,25,40,101325,1,180
