CPARRADO,00000,SPAIN_Site,NA,SPAIN,40.0,-3.5,1,650
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Tdry,RH,Pres,Wspd,Wdir
2018,1,1,0,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,1,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,2,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,3,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,4,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,5,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,6,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,7,0,4.825,0,3.625,25,40,101325,1,180
2018,1,1,8,0,72.86,0,19.56,25,40,101325,1,180
2018,1,1,9,0,215.81,0,40.52,25,40,101325,1,180
2018,1,1,10,0,358.485,0,54.64,25,40,101325,1,180
2018,1,1,11,0,421.42,0,60.11,25,40,101325,1,180
2018,1,1,12,0,454.2,0,65.45,25,40,101325,1,180
2018,1,1,13,0,454.2,0,76.31,25,40,101325,1,180
2018,1,1,14,0,375.4,0,65.45,25,40,101325,1,180
2018,1,1,15,0,308.04,0,50.91,25,40,101325,1,180
2018,1,1,16,0,155.34,0,28.075,25,40,101325,1,180
2018,1,1,17,0,35.0,0,9.89,25,40,101325,1,180
2018,1,1,18,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,19,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,20,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,21,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,22,0,0.0,0,0.0,25,40,101325,1,180
2018,1,1,23,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,0,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,1,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,2,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,3,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,4,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,5,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,6,0,0.0,0,0.0,25,40,101325,1,180
2018,1,2,7,0,4.26,0,4.075,25,40,101325,1,180
2018,1,2,8,0,72.135,0,20.325,25,40,101325,1,180
2018,1,2,9,0,197.05,0,52.645,25,40,101325,1,180
2018,1,2,10,0,258.35,0,72.79,25,40,101325,1,180
2018,1,2,11,0,350.45,0,88.94,25,40,101325,1,180
2018,1,2,12,0,419.08,0,135.63,25,40,101325,1,180
2018,1,2,13,0,419.08,0,135.63,25,40,101325,1,180
2018,1,2,14,0,380.55,0,109.37,25,40,101325,1,180
2018,1,2,15,0,281.285,0,68.05,25,40,101325,1,180
