Site,Vallenar
Latitude,-28.57
Longitude,-70.76
Timezone,-4
Elevation,1000
,,,,,,,,,
,,,,,,,,,
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Tdry,Wspd
2020,1,1,1,0,0.0,0.0,0.0,14.6,0.8
2020,1,1,2,0,0.0,0.0,0.0,14.3,0.9
2020,1,1,3,0,0.0,0.0,0.0,13.9,0.8
2020,1,1,4,0,0.0,0.0,0.0,13.3,0.6499999999999999
2020,1,1,5,0,0.0,0.0,0.0,13.2,0.6
2020,1,1,6,0,2.975,0.0,0.0,13.2,0.55
2020,1,1,7,0,112.525,3.2,391.05,14.2,0.6
2020,1,1,8,0,112.525,20.85,391.05,16.75,0.6499999999999999
2020,1,1,9,0,339.5625,39.85,391.05,19.8,1.2
2020,1,1,10,0,575.8,46.65,863.4749999999999,22.6,2.25
2020,1,1,11,0,790.7625,50.2,472.425,25.1,3.8
2020,1,1,12,0,966.825,52.25,532.4,26.8,5.199999999999999
2020,1,1,13,0,1086.4375,53.4,1081.225,27.7,5.8
2020,1,1,14,0,1113.9375,53.65,1096.525,28.05,5.8
2020,1,1,15,0,1113.9375,53.65,1096.525,28.05,5.95
2020,1,1,16,0,1040.95,52.95,1087.45,27.75,5.95
2020,1,1,17,0,897.3,51.45,1065.0,27.0,5.45
2020,1,1,18,0,703.75,48.85,1024.6,25.950000000000003,4.4
2020,1,1,19,0,475.2000000000001,44.150000000000006,946.3,24.5,3.0
2020,1,1,20,0,235.1,34.3,763.2,21.7,1.4
2020,1,1,21,0,57.95,13.75,316.25,19.1,0.6499999999999999
2020,1,1,22,0,0.0,0.0,0.0,18.15,0.6499999999999999
2020,1,1,23,0,0.0,0.0,0.0,18.15,1.0499999999999998
2020,1,1,24,0,0.0,0.0,0.0,17.450000000000003,1.5499999999999998
2020,1,2,1,0,0.0,0.0,0.0,16.75,1.6
2020,1,2,2,0,0.0,0.0,0.0,15.95,1.6
2020,1,2,3,0,0.0,0.0,0.0,14.9,1.4
2020,1,2,4,0,0.0,0.0,0.0,13.95,1.1
2020,1,2,5,0,0.0,0.0,0.0,13.55,1.1
2020,1,2,6,0,0.0,0.0,0.0,13.55,0.9
2020,1,2,7,0,2.9,2.9,0.0,14.5,0.8500000000000001
2020,1,2,8,0,111.15,20.5,390.65,17.1,1.4
2020,1,2,9,0,337.9,39.75,862.8,20.05,1.4
2020,1,2,10,0,574.95,46.6,981.5625,22.65,2.6
2020,1,2,11,0,789.6500000000001,50.2,1039.6125000000002,24.9,3.7
2020,1,2,12,0,789.6500000000001,52.25,1071.9,24.9,4.75
2020,1,2,13,0,962.95,53.35,1088.85,26.6,4.75
2020,1,2,14,0,1065.2,53.6,1091.8,28.0,5.75
2020,1,2,15,0,1036.1,53.6,1091.8,0.2999999999999989,6.15
2020,1,2,16,0,1036.1,52.95,1081.55,28.1,5.55
2020,1,2,17,0,786.4,51.45,1059.1999999999998,26.95,5.55
2020,1,2,18,0,474.35,48.85,1018.65,25.55,4.45
2020,1,2,19,0,236.15,37.400000000000006,942.85,25.55,3.15
2020,1,2,20,0,236.15,13.8,765.35,23.6,1.6
2020,1,2,21,0,58.7,0.0,318.85,20.95,0.6000000000000001
2020,1,2,22,0,0.0,0.0,0.0,19.0,0.55
2020,1,2,23,0,0.0,0.0,0.0,9.3,0.55
2020,1,2,24,0,0.0,0.0,0.0,17.950000000000003,0.8
2020,1,3,1,0,0.0,0.0,0.0,17.05,0.8500000000000001
2020,1,3,2,0,0.0,0.0,0.0,16.450000000000003,0.8500000000000001
2020,1,3,3,0,0.0,0.0,0.0,16.450000000000003,0.8
2020,1,3,4,0,0.0,0.0,0.0,15.45,0.7
2020,1,3,5,0,0.0,0.0,0.0,14.35,0.6
2020,1,3,6,0,0.0,0.0,0.0,14.35,0.4
2020,1,3,7,0,2.6,2.6,0.0,14.4,0.4
2020,1,3,8,0,2.6,24.8,3.85,16.35,0.65
2020,1,3,9,0,33.45,46.65,474.55,18.950000000000003,1.7
2020,1,3,10,0,375.1,46.65,980.05,21.4,3.25
2020,1,3,11,0,788.4,46.65,1040.25,23.75,4.75
2020,1,3,12,0,963.75,50.95,1073.0375,25.5,5.699999999999999
2020,1,3,13,0,1083.95,53.35,1073.0375,26.6,5.699999999999999
2020,1,3,14,0,1115.45,53.55,1090.2125,27.15,6.25
2020,1,3,15,0,1115.45,53.55,1088.125,27.15,6.25
2020,1,3,16,0,1044.35,52.9,1065.525,26.950000000000003,6.2
2020,1,3,17,0,900.45,51.45,1065.525,26.15,4.95
2020,1,3,18,0,706.5,48.8,973.875,24.8,3.25
2020,1,3,19,0,358.45,44.150000000000006,768.05,23.05,2.0
2020,1,3,20,0,59.15,34.5,319.65,21.25,2.0
